abs_mean_x	abs_mean_y	abs_mean_z	complexity_x	complexity_y	complexity_z	signal_power_x	signal_power_y	signal_power_z	spectral_entropy_x	spectral_entropy_y	spectral_entropy_z	corr_xy1	corr_yz1	count_cross_xy	mu_x	sigma_x	kurtosis_x	max_x	sum_x	max_fs_x	sigma_y	sum_y	max_fs_y	vpp_z	min_z	sum_z	max_fs_z	goalClass
20.03	187.72	974.32	1421.51	1072.76	459.39	902.41	1714.47	2257.17	2.24	5.09	5.10	-0.91	-0.10	2.00	-15.39	35.45	49.61	191.92	-2523.54	0.00	28.11	-30561.09	0.00	150.67	965.41	159789.03	0.00	P
4.06	6.84	990.97	141.74	107.64	164.07	457.99	646.84	2331.75	4.86	5.10	5.13	0.08	-0.34	4.00	3.98	1.60	28.45	14.95	672.39	0.00	0.84	1155.55	0.00	19.83	982.98	167474.09	0.00	P
14.64	186.90	973.86	530.18	590.91	259.46	859.07	1715.46	2257.05	4.97	5.10	5.10	-0.37	0.19	0.00	-13.79	6.37	19.84	32.83	-2261.04	0.00	5.88	-30651.11	0.00	42.02	964.41	159712.89	0.00	P
17.29	187.30	972.58	386.33	583.99	297.33	988.13	1841.48	2421.74	5.02	5.17	5.17	-0.65	-0.01	0.00	-17.29	4.56	33.09	0.29	-3042.48	0.00	8.54	-32965.30	0.00	38.47	949.53	171174.10	0.00	P
44.90	200.91	970.37	5504.82	3287.96	2167.76	934.93	1739.84	2268.42	1.46	4.73	5.10	0.80	-0.81	2.00	-25.36	174.45	46.84	602.16	-4183.65	0.00	93.86	-31863.15	0.00	1094.77	424.61	160110.42	0.00	P
24.13	193.29	972.08	1860.81	2138.06	1701.97	941.46	1732.47	2269.50	1.38	4.93	5.10	0.68	0.97	0.00	-10.56	62.02	74.51	565.53	-1742.21	0.00	66.84	-30977.13	0.00	738.30	532.57	160392.89	0.00	P
55.34	189.54	966.00	9457.50	1020.33	3769.38	997.83	1739.58	2276.87	1.12	5.08	5.10	0.99	0.99	4.00	-36.09	249.03	65.49	993.61	-5991.50	0.00	21.04	-31462.85	0.00	1312.00	55.22	160356.55	0.00	P
20.93	184.62	975.50	1105.77	943.81	537.61	954.86	1705.24	2257.58	3.53	5.08	5.10	0.96	0.92	0.00	-14.27	24.52	37.46	177.73	-2339.62	0.00	22.94	-30277.61	0.00	97.89	966.64	159981.67	0.00	P
14.43	188.33	972.63	122.96	99.26	91.39	880.29	1728.59	2270.40	5.10	5.11	5.11	0.08	0.16	0.00	-14.43	0.87	0.24	-11.85	-2381.06	0.00	0.87	-31073.64	0.00	7.46	967.68	160483.13	0.00	P
14.69	187.98	972.65	140.46	162.99	106.27	880.73	1717.50	2256.65	5.09	5.10	5.10	0.00	0.14	0.00	-14.69	0.99	-0.04	-12.58	-2409.70	0.00	1.30	-30828.04	0.00	5.49	969.48	159514.36	0.00	P
37.20	168.00	976.45	6089.89	5533.15	2712.43	1005.84	1656.17	2244.05	4.26	4.96	5.09	-0.29	0.09	4.00	7.78	47.97	0.18	161.81	1268.26	26.00	45.92	-27383.40	0.00	204.05	876.44	159161.19	0.00	S
22.92	166.10	975.66	3285.65	4508.47	1497.87	867.34	1650.50	2271.40	4.05	4.97	5.11	-0.28	0.46	6.00	-16.29	27.07	2.04	75.54	-2688.23	0.00	51.53	-27343.66	0.00	84.20	936.56	160983.41	0.00	S
338.16	471.07	968.73	58723.72	60694.57	4881.60	1153.48	1730.69	2280.41	1.11	1.18	5.10	-1.00	-0.65	14.00	-92.44	2151.49	52.25	16403.48	-15345.17	41.00	2141.94	-15023.03	41.00	1153.26	289.60	160808.79	0.00	S
43.09	173.95	965.58	7503.72	6805.52	2991.85	1069.12	1669.73	2254.13	4.24	4.91	5.10	-0.22	-0.05	8.00	9.59	55.35	0.41	174.95	1572.47	32.00	57.93	-28527.84	0.00	165.65	878.36	158354.45	0.00	S
36.95	160.08	979.85	6095.25	7326.60	2923.87	1018.47	1639.74	2258.95	4.27	4.87	5.10	-0.36	-0.01	10.00	-11.51	46.78	0.56	153.82	-1888.44	0.00	58.04	-26252.93	0.00	157.55	896.10	160695.69	0.00	S
36.68	166.35	979.20	6065.75	7468.74	3171.33	1032.82	1637.39	2258.74	4.28	4.88	5.10	-0.39	-0.02	11.00	-5.04	47.20	0.24	136.07	-825.80	18.00	62.69	-27281.92	0.00	132.73	909.27	160589.21	0.00	S
25.48	169.99	976.18	4161.90	4785.40	1529.42	874.71	1665.30	2257.80	3.68	4.97	5.10	-0.36	0.33	3.00	-2.70	38.29	5.67	83.63	-442.22	30.00	52.64	-27676.30	0.00	129.52	925.07	160093.64	0.00	S
92.94	373.90	1069.76	16403.79	42574.97	21410.31	835.40	1729.79	2337.80	1.13	1.21	4.06	-1.00	-1.00	12.00	-32.15	550.72	52.82	4107.44	-5433.65	41.00	1572.83	-15906.96	37.00	13158.17	-5671.20	158368.94	0.00	S
23.82	161.95	975.67	3911.56	5324.16	1414.15	901.01	1661.05	2298.93	4.02	4.92	5.12	-0.49	0.50	14.00	-14.77	29.18	2.32	69.15	-2466.07	0.00	61.67	-26872.19	0.00	83.87	942.45	162937.43	0.00	S
24.76	168.94	975.57	3563.91	4694.27	1659.94	905.99	1658.86	2271.37	4.28	4.94	5.11	-0.38	0.47	8.00	-14.90	28.23	0.61	76.94	-2458.33	0.00	55.97	-27874.38	0.00	90.02	936.18	160968.89	0.00	S
1113.82	509.01	906.22	234496.48	97716.78	109750.04	2165.35	1859.85	2122.58	4.41	4.19	4.51	0.44	-0.15	69.00	19.20	1374.53	-0.19	3771.53	3130.22	47.00	658.88	-23429.99	0.00	4527.60	-1755.00	96713.60	0.00	X
657.13	436.46	769.72	141115.02	50543.60	104299.49	2017.10	1893.61	2092.94	4.47	4.56	4.65	0.49	-0.26	71.00	83.13	792.98	-0.33	2074.89	13632.86	48.00	330.55	65118.79	0.00	3435.85	-1223.95	107795.81	0.00	X
3199.68	1856.16	2356.38	551718.80	255495.86	369524.40	1955.11	2052.45	2181.20	1.11	1.13	1.17	-1.00	1.00	53.00	-823.74	20253.89	52.06	151432.68	-136740.19	40.00	10017.95	158335.62	39.00	169953.86	-83481.26	192983.95	38.00	X
